ano,titulo_livro,genero_livro,pais_primeira_edicao,nome_autor,nacionaldade_autor,genero_autor,faixa_etaria_autor,nome_pais_autor,nome_editora,sede_editora,site_editora,sigla_pais_iso2,indicador_vencedor,indicador_finalista,indicador_semifinalista
2021,Amazônia em Oito Horas,Crônica,Brasil,Brenda Diniz,Brasileira,Feminino,de 20 a 30 anos,Brasil,Ape'Ku,Brasil,https://www.apeku.com.br/pagina-de-produto/978-65-86657-06-7,BR,Não,Não,Não
2021,Ambivalências,Poesia,Brasil,Marina Bariani Trava,Brasileira,Feminino,de 20 a 30 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,América,Dramaturgia,Brasil,Francisco Mallmann,Brasileira,Masculino,de 20 a 30 anos,Brasil,Urutau,Brasil,editoraurutau.com.br,BR,Não,Não,Não
2021,Amor Desconhecido,Romance,Brasil,G. S. Neves,Brasileira,Feminino,menos de 20 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Amor Partido,Romance,Brasil,Atila Guilherme,Brasileira,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Amores e Desamores,Poesia,Brasil,Carla Serafim,Brasileira,Feminino,de 20 a 30 anos,Brasil,Lino,Brasil,https://l.instagram.com/?u=https%3A%2F%2Feditoralinobooks.com.br%2Fproduto%2Famores-e-desamores%2F&e=ATMeM5KznQkY266KpbCLdu4qUspfOVyRv83NpSZKW9w-PL_BrmFgvLVMDrkeBI9JeeihZL87NNRZ8YN_cDZ6pg&s=1,BR,Não,Não,Não
2021,Amores malfadados,Conto,Brasil,Luiz Henrique Gurgel,Brasileira,Masculino,de 50 a 60 anos,Brasil,Primata,Brasil,https://www.editoraprimata.com,BR,Não,Não,Não
2021,AmoreZ,Crônica,Brasil,Regiane Folter,Brasileira,Feminino,de 20 a 30 anos,Uruguai,Autopublicação,,,BR,Não,Não,Não
2021,Amorfo,Romance,Brasil,N. Ferraz,Brasileira,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,AnTrapoGênese,Conto,Brasil,Paulo De Almeida,Brasileira,Masculino,de 40 a 50 anos,Brasil,LaPeensée,França,delapensee.com,FR,Não,Não,Não
2021,Ana de Corona,Romance,Brasil,Gisele Mirabai,Brasileira,Feminino,de 40 a 50 anos,Brasil,Ciao Ciao,Brasil,www.ciaociao.art.br,BR,Não,Não,Não
2021,Anacronia,Conto,Brasil,Marino Sergio Rodrigues,Brasileira,Masculino,de 30 a 40 anos,Brasil,A.R. Publisher,Brasil,www.editoraarpublisher.com.br,BR,Não,Não,Não
2021,André,Romance,Brasil,Haroldo Freitag,Brasileira,Masculino,de 30 a 40 anos,Brasil,Kotter,Brasil,https://kotter.com.br/,BR,Não,Não,Não
2021,Animais de abraços incompletos,Romance,Portugal,Luis Miguel Fernandes,Portuguesa,Masculino,de 30 a 40 anos,Portugal,Emporium,Portugal,https://emporiumeditora.com,PT,Não,Não,Não
2021,Anjo frito no amor de dois deuses,Poesia,Brasil,Thiago Sogayar Bechara,Brasileira,Masculino,de 30 a 40 anos,Brasil,Urutau,Brasil,editoraurutau.com.br,BR,Não,Não,Não
2021,"Anna, A brasileirinha de São Paulo",Romance,Portugal,Isabel Mateus,Portuguesa,Feminino,de 50 a 60 anos,Portugal,Autopublicação,,,BR,Não,Não,Não
2021,Antes de Viena,Conto,Brasil,Lina Mares,Brasileira,Feminino,de 50 a 60 anos,Áustria,Venas Abiertas,Brasil,venasabiertas.com.br,BR,Não,Não,Não
2021,Antes que ele se tornasse música,Romance,Brasil,Bia Levin,Brasileira,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,"Antologia Poética ""Exortações Inspiradas""",Poesia,Brasil,Andre Luiz Martins De  Almeida,Brasileira,Masculino,de 50 a 60 anos,Brasil,Drago,Brasil,https://www.dragoeditorial.com/,BR,Não,Não,Não
2021,Antônia,Romance,Brasil,Henrique German,Brasileira,Masculino,de 50 a 60 anos,Brasil,Páginas,Brasil,paginaseditora.com.br,BR,Não,Não,Não
2021,Antônia ,Romance,Brasil,Santana Filho,Brasileira,Masculino,de 60 a 70 anos,Brasil,Reformatório,Brasil,http://www.reformatorio.com.br,BR,Não,Não,Não
2021,Anuviando,Conto,Brasil,Paulo Roberto Simas,Brasileira,Masculino,de 60 a 70 anos,Brasil,Scortecci,Brasil,SCORTECCI.COM.BR,BR,Não,Não,Não
2021,Ao antropoceno brevíssimo aceno ou um pot-pourri pro povo rir,Poesia,Brasil,Gustavo Dutra,Brasileira,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Ao pó,Romance,Brasil,Morgana Kretzmann,Brasileira,Feminino,de 40 a 50 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,Ao sol,Poesia,Brasil,Wilia Katia Oliveira,Brasileira,Feminino,de 50 a 60 anos,Brasil,Caravana,Brasil,www.caravanagrupoeditorial.com.br,BR,Não,Não,Não
2021,Aonde for,Poesia,Brasil,Samarone Marinho,Brasileira,Masculino,de 30 a 40 anos,Brasil,7Letras,Brasil,https://7letras.com.br/,BR,Não,Não,Não
2021,"Aos clementes, esperançai-vos",Poesia,Brasil,Bruno Cena Macedo,Brasileira,Masculino,de 20 a 30 anos,Brasil,Porto Lenha,Brasil,https://www.portodelenha.com.br,BR,Não,Não,Não
2021,Aos pares,Poesia,Brasil,Nicolas Casal,Brasileira,Masculino,de 20 a 30 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,Apaguei a playlist / comecei a dançar,Poesia,Brasil,Fernando De Albuquerque,Brasileira,Masculino,de 30 a 40 anos,Brasil,Castanha Mecânica,Brasil,,BR,Não,Não,Não
2021,Aparecida Rainha,Conto,Brasil,Leonardo Costaneto,Brasileira,Masculino,de 30 a 40 anos,Brasil,Caravana,Brasil,www.caravanagrupoeditorial.com.br,BR,Não,Não,Não
2021,Apátridas,Romance,Brasil,Alejandro Chacoff,Brasileira,Masculino,de 30 a 40 anos,Brasil,Companhia das Letras,Brasil,https://www.companhiadasletras.com.br/,BR,Não,Não,Não
2021,Apê,Conto,Brasil,Gilson Yoshioka,Brasileira,Masculino,de 40 a 50 anos,Brasil,Telucazu,Brasil,https://telucazu.com/,BR,Não,Não,Não
2021,Apenas três palavras,Romance,Brasil,Eduardo Baccarin-Costa,Brasileira,Masculino,de 60 a 70 anos,Brasil,Madrepérola,Brasil,www.editoramadreperola.com,BR,Não,Não,Não
2021,Apneia,Romance,Portugal,Tania Ganho,Portuguesa,Feminino,de 40 a 50 anos,Portugal,Casa das Letras,Portugal,http://casadasletras.leya.com/pt/,PT,Não,Não,Sim
2021,Aprendi a voar quando fui empurrado do precipício,Poesia,Brasil,Tales Jaloretto,Brasileira,Masculino,de 40 a 50 anos,Brasil,Urutau,Brasil,editoraurutau.com.br,BR,Não,Não,Não
2021,Aquele abraço que não lhe dei,Romance,Brasil,Luiz Claudio Padua Netto,Brasileira,Masculino,de 50 a 60 anos,Brasil,Ramalhete,Brasil,www.editoraramalhete.com.br,BR,Não,Não,Não
2021,Aqui - você atravessa de ossos quebrados,Dramaturgia,Brasil,Beatriz Avila Vasconcelos,Brasileira,Feminino,de 40 a 50 anos,Brasil,La Lettre,Brasil,https://lalettre.art.br/,BR,Não,Não,Não
2021,Aqui até o céu escreve ficção,Conto,Brasil,Jozias Benedicto,Brasileira,Masculino,de 70 a 80 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,Aqui dentro,Conto,Brasil,Nathallia Protazio,Brasileira,Feminino,de 30 a 40 anos,Brasil,Venas Abiertas,Brasil,venasabiertas.com.br,BR,Não,Não,Não
2021,Aquilo que a gente não diz,Crônica,Brasil,Fernanda Estramasso Rodrigues,Brasileira,Feminino,de 20 a 30 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,Árago e As Almas Sagradas,Romance,Brasil,Wagner Cruz,Brasileira,Masculino,de 40 a 50 anos,Brasil,Kotter,Brasil,https://kotter.com.br/,BR,Não,Não,Não
2021,Aranhas,Conto,Brasil,Carlos Henrique Schroeder,Brasileira,Masculino,de 40 a 50 anos,Brasil,Record,Brasil,https://www.record.com.br/,BR,Não,Não,Não
2021,Arapuca,Poesia,Brasil,Otacilio Monteiro,Brasileira,Masculino,de 50 a 60 anos,Brasil,Telucazu,Brasil,https://telucazu.com/,BR,Não,Não,Não
2021,Arapuca ou Eva Dando Voltas no Paraíso,Dramaturgia,Brasil,Janaina Fukushima,Brasileira,Feminino,de 30 a 40 anos,Brasil,La Lettre,Brasil,https://lalettre.art.br/,BR,Não,Não,Não
2021,Areia Movediça,Romance,Brasil,Douglas Lobo,Brasileira,Masculino,de 40 a 50 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Arquivo Dulion,Romance,Brasil,Nani Mazurchi,Brasileira,Feminino,de 40 a 50 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Arquivos mortos,Romance,Brasil,Robson Gundim,Brasileira,Feminino,de 20 a 30 anos,Brasil,Hope,Brasil,www.editorahope.com,BR,Não,Não,Não
2021,Arrebol Acromático,Poesia,Brasil,Ismael Marck,Brasileira,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Arrémata Rémata,Poesia,Brasil,Marcelo G. J. Feres,Brasileira,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Arremate,Poesia,Brasil,Armando Freitas Filho,Brasileira,Masculino,de 80 a 90 anos,Brasil,Companhia das Letras,Brasil,https://www.companhiadasletras.com.br/,BR,Não,Não,Não
2021,Arromance,Romance,Brasil,Osvaldo Matsuda,Brasileira,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,Arromântica fresta do céu,Conto,Brasil,Osvaldo Matsuda,Brasileira,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,"Arthur Bispo do Rosário, o Rei! e outras peças de teatro ",Dramaturgia,Brasil,Fausto Antonio,Brasileira,Masculino,de 60 a 70 anos,Brasil,Ciclo Contínuo Editorial,Brasil,ciclocontinuoeditorial.com,BR,Não,Não,Não
2021,As 8 chaves de Eternidade,Conto,Brasil,Cristiano Moita,Brasileira,Masculino,de 30 a 40 anos,Brasil,Autopublicação,,,BR,Não,Não,Não
2021,As amarras,Romance,Brasil,Jorge Sa Earp,Brasileira,Masculino,de 30 a 40 anos,Brasil,7Letras,Brasil,https://7letras.com.br/,BR,Não,Não,Não
2021,As areias da ampulheta,Poesia,Brasil,Lua Costa,Brasileira,Feminino,de 20 a 30 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,As árvores não têm veludo,Poesia,Brasil,Diego Pereira,Brasileira,Masculino,de 30 a 40 anos,Brasil,Labrador,Brasil,http://www.editoralabrador.com.br/,BR,Não,Não,Não
2021,As Asas Decepadas,Conto,Moçambique,Lex  Mucache,Moçambicana,Masculino,de 40 a 50 anos,Reino Unido,Kulera,Moçambique,www.editorakulera.com,MZ,Não,Não,Não
2021,As aves não têm céu,Romance,Portugal,Ricardo Fonseca Mota,Portuguesa,Masculino,de 30 a 40 anos,Portugal,Porto,Portugal,www.portoeditora.pt,PT,Não,Não,Sim
2021,As cartas de Maria,Poesia,Brasil,Zulmira Alves Correia,Brasileira,Feminino,de 20 a 30 anos,Brasil,Cepe,Brasil,editora.cepe.com.br,BR,Não,Não,Não
2021,Às cinzas,Poesia,Brasil,Gabrielly Valadares Drumond,Brasileira,Feminino,de 20 a 30 anos,Brasil,Patuá,Brasil,www.editorapatua.com.br,BR,Não,Não,Não
2021,As coisas andam meio desalmadas,Poesia,Brasil,Thaina Carvalho,Brasileira,Feminino,de 30 a 40 anos,Brasil,Penalux,Brasil,www.penaluxeditora.com.br,BR,Não,Não,Não
2021,As coisas humanas,Crônica,Brasil,Lya Luft,Brasileira,Feminino,de 80 a 90 anos,Brasil,Record,Brasil,https://www.record.com.br/,BR,Não,Não,Não
2021,As coisas sem nome,Romance,Brasil,Marcelo Pimenta,Brasileira,Masculino,de 50 a 60 anos,Brasil,Quixote+Do,Brasil,https://www.quixote-do.com.br/,BR,Não,Não,Não
